x,y
-4,-7
-3.992,-6.975999999999999
-3.984,-6.952
-3.976,-6.928000000000001
-3.968,-6.904
-3.96,-6.879999999999999
-3.952,-6.856
-3.944,-6.832000000000001
-3.936,-6.808
-3.928,-6.783999999999999
-3.92,-6.76
-3.912,-6.736000000000001
-3.904,-6.712
-3.896,-6.687999999999999
-3.888,-6.664
-3.88,-6.640000000000001
-3.872,-6.616
-3.864,-6.591999999999999
-3.856,-6.568
-3.848,-6.5440000000000005
-3.84,-6.52
-3.832,-6.495999999999999
-3.824,-6.4719999999999995
-3.816,-6.448
-3.808,-6.4239999999999995
-3.8,-6.399999999999999
-3.792,-6.3759999999999994
-3.784,-6.352
-3.776,-6.327999999999999
-3.768,-6.3039999999999985
-3.76,-6.279999999999999
-3.752,-6.256
-3.7439999999999998,-6.231999999999999
-3.7359999999999998,-6.207999999999998
-3.7279999999999998,-6.183999999999999
-3.7199999999999998,-6.16
-3.7119999999999997,-6.135999999999999
-3.7039999999999997,-6.111999999999998
-3.6959999999999997,-6.087999999999999
-3.6879999999999997,-6.064
-3.6799999999999997,-6.039999999999999
-3.6719999999999997,-6.015999999999998
-3.6639999999999997,-5.991999999999999
-3.6559999999999997,-5.968
-3.6479999999999997,-5.943999999999999
-3.6399999999999997,-5.919999999999998
-3.6319999999999997,-5.895999999999999
-3.6239999999999997,-5.872
-3.6159999999999997,-5.847999999999999
-3.6079999999999997,-5.823999999999998
-3.5999999999999996,-5.799999999999999
-3.5919999999999996,-5.776
-3.5839999999999996,-5.751999999999999
-3.5759999999999996,-5.727999999999998
-3.5679999999999996,-5.703999999999999
-3.5599999999999996,-5.68
-3.5519999999999996,-5.655999999999999
-3.5439999999999996,-5.631999999999998
-3.5359999999999996,-5.607999999999999
-3.5279999999999996,-5.584
-3.5199999999999996,-5.559999999999999
-3.5119999999999996,-5.535999999999998
-3.5039999999999996,-5.511999999999999
-3.4959999999999996,-5.4879999999999995
-3.4879999999999995,-5.463999999999999
-3.4799999999999995,-5.439999999999998
-3.4719999999999995,-5.415999999999999
-3.4639999999999995,-5.3919999999999995
-3.4559999999999995,-5.3679999999999986
-3.4479999999999995,-5.343999999999998
-3.4399999999999995,-5.3199999999999985
-3.4319999999999995,-5.295999999999999
-3.4239999999999995,-5.2719999999999985
-3.4159999999999995,-5.2479999999999976
-3.4079999999999995,-5.223999999999998
-3.3999999999999995,-5.199999999999999
-3.3919999999999995,-5.175999999999998
-3.3839999999999995,-5.1519999999999975
-3.3759999999999994,-5.127999999999998
-3.3679999999999994,-5.103999999999999
-3.3599999999999994,-5.079999999999998
-3.3519999999999994,-5.055999999999997
-3.3439999999999994,-5.031999999999998
-3.3359999999999994,-5.007999999999999
-3.3279999999999994,-4.983999999999998
-3.3199999999999994,-4.959999999999997
-3.3119999999999994,-4.935999999999998
-3.3039999999999994,-4.911999999999999
-3.2959999999999994,-4.887999999999998
-3.2879999999999994,-4.863999999999997
-3.2799999999999994,-4.839999999999998
-3.2719999999999994,-4.815999999999999
-3.2639999999999993,-4.791999999999998
-3.2559999999999993,-4.767999999999997
-3.2479999999999993,-4.743999999999998
-3.2399999999999993,-4.719999999999999
-3.2319999999999993,-4.695999999999998
-3.2239999999999993,-4.671999999999997
-3.2159999999999993,-4.647999999999998
-3.2079999999999993,-4.623999999999999
-3.1999999999999993,-4.599999999999998
-3.1919999999999993,-4.575999999999997
-3.1839999999999993,-4.551999999999998
-3.1759999999999993,-4.527999999999999
-3.1679999999999993,-4.503999999999998
-3.1599999999999993,-4.479999999999997
-3.1519999999999992,-4.455999999999998
-3.1439999999999992,-4.431999999999999
-3.1359999999999992,-4.407999999999998
-3.1279999999999992,-4.383999999999997
-3.119999999999999,-4.359999999999998
-3.111999999999999,-4.3359999999999985
-3.103999999999999,-4.311999999999998
-3.095999999999999,-4.287999999999997
-3.087999999999999,-4.263999999999998
-3.079999999999999,-4.239999999999998
-3.071999999999999,-4.2159999999999975
-3.063999999999999,-4.191999999999997
-3.055999999999999,-4.1679999999999975
-3.047999999999999,-4.143999999999998
-3.039999999999999,-4.119999999999997
-3.031999999999999,-4.0959999999999965
-3.023999999999999,-4.071999999999997
-3.015999999999999,-4.047999999999998
-3.007999999999999,-4.023999999999997
-2.999999999999999,-3.9999999999999964
-2.991999999999999,-3.9759999999999973
-2.983999999999999,-3.951999999999998
-2.975999999999999,-3.9279999999999973
-2.967999999999999,-3.9039999999999964
-2.959999999999999,-3.8799999999999972
-2.951999999999999,-3.855999999999998
-2.943999999999999,-3.831999999999997
-2.935999999999999,-3.8079999999999963
-2.927999999999999,-3.783999999999997
-2.919999999999999,-3.759999999999998
-2.911999999999999,-3.735999999999997
-2.903999999999999,-3.711999999999996
-2.895999999999999,-3.687999999999997
-2.887999999999999,-3.663999999999998
-2.879999999999999,-3.639999999999997
-2.871999999999999,-3.615999999999996
-2.863999999999999,-3.591999999999997
-2.855999999999999,-3.567999999999998
-2.847999999999999,-3.543999999999997
-2.839999999999999,-3.519999999999996
-2.831999999999999,-3.495999999999997
-2.823999999999999,-3.4719999999999978
-2.815999999999999,-3.447999999999997
-2.807999999999999,-3.423999999999996
-2.799999999999999,-3.399999999999997
-2.791999999999999,-3.3759999999999977
-2.783999999999999,-3.3519999999999968
-2.775999999999999,-3.327999999999996
-2.767999999999999,-3.3039999999999967
-2.759999999999999,-3.2799999999999976
-2.751999999999999,-3.2559999999999967
-2.743999999999999,-3.2319999999999958
-2.735999999999999,-3.2079999999999966
-2.727999999999999,-3.1839999999999975
-2.719999999999999,-3.1599999999999966
-2.711999999999999,-3.1359999999999957
-2.703999999999999,-3.1119999999999965
-2.695999999999999,-3.0879999999999974
-2.687999999999999,-3.0639999999999965
-2.679999999999999,-3.0399999999999956
-2.671999999999999,-3.0159999999999965
-2.663999999999999,-2.9919999999999964
-2.655999999999999,-2.9679999999999964
-2.647999999999999,-2.9439999999999964
-2.639999999999999,-2.9199999999999964
-2.631999999999999,-2.8959999999999964
-2.6239999999999988,-2.8719999999999963
-2.6159999999999988,-2.8479999999999963
-2.6079999999999988,-2.8239999999999963
-2.5999999999999988,-2.7999999999999963
-2.5919999999999987,-2.7759999999999962
-2.5839999999999987,-2.7519999999999962
-2.5759999999999987,-2.727999999999996
-2.5679999999999987,-2.703999999999996
-2.5599999999999987,-2.679999999999996
-2.5519999999999987,-2.655999999999996
-2.5439999999999987,-2.631999999999996
-2.5359999999999987,-2.607999999999996
-2.5279999999999987,-2.583999999999996
-2.5199999999999987,-2.559999999999996
-2.5119999999999987,-2.535999999999996
-2.5039999999999987,-2.511999999999996
-2.4959999999999987,-2.487999999999996
-2.4879999999999987,-2.463999999999996
-2.4799999999999986,-2.439999999999996
-2.4719999999999986,-2.415999999999996
-2.4639999999999986,-2.391999999999996
-2.4559999999999986,-2.367999999999996
-2.4479999999999986,-2.343999999999996
-2.4399999999999986,-2.319999999999996
-2.4319999999999986,-2.295999999999996
-2.4239999999999986,-2.271999999999996
-2.4159999999999986,-2.247999999999996
-2.4079999999999986,-2.2239999999999958
-2.3999999999999986,-2.1999999999999957
-2.3919999999999986,-2.1759999999999957
-2.3839999999999986,-2.1519999999999957
-2.3759999999999986,-2.1279999999999957
-2.3679999999999986,-2.1039999999999957
-2.3599999999999985,-2.0799999999999956
-2.3519999999999985,-2.0559999999999956
-2.3439999999999985,-2.0319999999999956
-2.3359999999999985,-2.0079999999999956
-2.3279999999999985,-1.9839999999999955
-2.3199999999999985,-1.9599999999999955
-2.3119999999999985,-1.9359999999999955
-2.3039999999999985,-1.9119999999999955
-2.2959999999999985,-1.8879999999999955
-2.2879999999999985,-1.8639999999999954
-2.2799999999999985,-1.8399999999999954
-2.2719999999999985,-1.8159999999999954
-2.2639999999999985,-1.7919999999999954
-2.2559999999999985,-1.7679999999999954
-2.2479999999999984,-1.7439999999999953
-2.2399999999999984,-1.7199999999999953
-2.2319999999999984,-1.6959999999999953
-2.2239999999999984,-1.6719999999999953
-2.2159999999999984,-1.6479999999999952
-2.2079999999999984,-1.6239999999999952
-2.1999999999999984,-1.5999999999999952
-2.1919999999999984,-1.5759999999999952
-2.1839999999999984,-1.5519999999999952
-2.1759999999999984,-1.5279999999999951
-2.1679999999999984,-1.5039999999999951
-2.1599999999999984,-1.479999999999995
-2.1519999999999984,-1.455999999999995
-2.1439999999999984,-1.431999999999995
-2.1359999999999983,-1.407999999999995
-2.1279999999999983,-1.383999999999995
-2.1199999999999983,-1.359999999999995
-2.1119999999999983,-1.335999999999995
-2.1039999999999983,-1.311999999999995
-2.0959999999999983,-1.287999999999995
-2.0879999999999983,-1.263999999999995
-2.0799999999999983,-1.2399999999999949
-2.0719999999999983,-1.2159999999999949
-2.0639999999999983,-1.1919999999999948
-2.0559999999999983,-1.1679999999999948
-2.0479999999999983,-1.1439999999999948
-2.0399999999999983,-1.1199999999999948
-2.0319999999999983,-1.0959999999999948
-2.0239999999999982,-1.0719999999999947
-2.0159999999999982,-1.0479999999999947
-2.0079999999999982,-1.0239999999999947
-1.9999999999999982,-0.9999999999999947
-1.9919999999999982,-0.9759999999999946
-1.9839999999999982,-0.9519999999999946
-1.9759999999999982,-0.9279999999999946
-1.9679999999999982,-0.9039999999999946
-1.9599999999999982,-0.8799999999999946
-1.9519999999999982,-0.8559999999999945
-1.9439999999999982,-0.8319999999999945
-1.9359999999999982,-0.8079999999999945
-1.9279999999999982,-0.7839999999999945
-1.9199999999999982,-0.7599999999999945
-1.9119999999999981,-0.7359999999999944
-1.9039999999999981,-0.7119999999999944
-1.8959999999999981,-0.6879999999999944
-1.8879999999999981,-0.6639999999999944
-1.8799999999999981,-0.6399999999999944
-1.871999999999998,-0.6159999999999943
-1.863999999999998,-0.5919999999999943
-1.855999999999998,-0.5679999999999943
-1.847999999999998,-0.5439999999999943
-1.839999999999998,-0.5199999999999942
-1.831999999999998,-0.4959999999999942
-1.823999999999998,-0.4719999999999942
-1.815999999999998,-0.4479999999999942
-1.807999999999998,-0.42399999999999416
-1.799999999999998,-0.39999999999999414
-1.791999999999998,-0.3759999999999941
-1.783999999999998,-0.3519999999999941
-1.775999999999998,-0.3279999999999941
-1.767999999999998,-0.30399999999999405
-1.759999999999998,-0.27999999999999403
-1.751999999999998,-0.255999999999994
-1.743999999999998,-0.231999999999994
-1.735999999999998,-0.20799999999999397
