x,y
-4,9
-3.992,8.952064
-3.984,8.904256
-3.976,8.856576
-3.968,8.809023999999999
-3.96,8.7616
-3.952,8.714304
-3.944,8.667136
-3.936,8.620096
-3.928,8.573184
-3.92,8.526399999999999
-3.912,8.479744
-3.904,8.433216
-3.896,8.386816
-3.888,8.340544
-3.88,8.2944
-3.872,8.248384
-3.864,8.202496
-3.856,8.156735999999999
-3.848,8.111104
-3.84,8.0656
-3.832,8.020223999999999
-3.824,7.974976
-3.816,7.929855999999999
-3.808,7.8848639999999985
-3.8,7.839999999999998
-3.792,7.7952639999999995
-3.784,7.750655999999999
-3.776,7.706175999999999
-3.768,7.661823999999999
-3.76,7.6175999999999995
-3.752,7.573503999999998
-3.7439999999999998,7.5295359999999985
-3.7359999999999998,7.485695999999999
-3.7279999999999998,7.441983999999998
-3.7199999999999998,7.398399999999999
-3.7119999999999997,7.354943999999998
-3.7039999999999997,7.311615999999999
-3.6959999999999997,7.268415999999998
-3.6879999999999997,7.225343999999998
-3.6799999999999997,7.182399999999998
-3.6719999999999997,7.139583999999999
-3.6639999999999997,7.096895999999999
-3.6559999999999997,7.0543359999999975
-3.6479999999999997,7.011903999999998
-3.6399999999999997,6.969599999999998
-3.6319999999999997,6.9274239999999985
-3.6239999999999997,6.885375999999999
-3.6159999999999997,6.843455999999998
-3.6079999999999997,6.801663999999999
-3.5999999999999996,6.759999999999998
-3.5919999999999996,6.718463999999997
-3.5839999999999996,6.6770559999999985
-3.5759999999999996,6.635775999999998
-3.5679999999999996,6.594623999999998
-3.5599999999999996,6.553599999999998
-3.5519999999999996,6.512703999999998
-3.5439999999999996,6.471935999999998
-3.5359999999999996,6.431295999999998
-3.5279999999999996,6.390783999999998
-3.5199999999999996,6.350399999999999
-3.5119999999999996,6.3101439999999975
-3.5039999999999996,6.270015999999998
-3.4959999999999996,6.230015999999997
-3.4879999999999995,6.190143999999998
-3.4799999999999995,6.150399999999998
-3.4719999999999995,6.110783999999997
-3.4639999999999995,6.0712959999999985
-3.4559999999999995,6.031935999999998
-3.4479999999999995,5.992703999999998
-3.4399999999999995,5.953599999999998
-3.4319999999999995,5.914623999999998
-3.4239999999999995,5.875775999999997
-3.4159999999999995,5.837055999999997
-3.4079999999999995,5.798463999999997
-3.3999999999999995,5.759999999999998
-3.3919999999999995,5.721663999999997
-3.3839999999999995,5.683455999999998
-3.3759999999999994,5.645375999999997
